Time(ms),USB(mA),USB Voltage(V),
np.float64(0.1344597339630127),np.float64(234.76042086797167),np.float64(4.9165),
np.float64(0.1346590518951416),np.float64(234.24424282531317),np.float64(4.9165),
np.float64(0.13485097885131836),np.float64(234.1251248154689),np.float64(4.917125),
np.float64(0.13504886627197266),np.float64(232.00747130712634),np.float64(4.919625),
np.float64(0.13524484634399414),np.float64(230.39276050701514),np.float64(4.918),
np.float64(0.13545012474060059),np.float64(231.72952928415637),np.float64(4.919125),
np.float64(0.13563275337219238),np.float64(231.4780579300407),np.float64(4.917375),
np.float64(0.13585782051086426),np.float64(232.69570869733766),np.float64(4.91775),
np.float64(0.13605189323425293),np.float64(232.81482670718194),np.float64(4.916875),
np.float64(0.13625693321228027),np.float64(233.95306546791608),np.float64(4.915625),
np.float64(0.13644099235534668),np.float64(236.2560136582386),np.float64(4.91425),
np.float64(0.13664889335632324),np.float64(236.4413083402186),np.float64(4.91525),
np.float64(0.13683295249938965),np.float64(234.8927742122431),np.float64(4.91675),
np.float64(0.13704586029052734),np.float64(233.2515927432776),np.float64(4.916375),
np.float64(0.13724279403686523),np.float64(233.70159411380038),np.float64(4.916625),
np.float64(0.13745784759521484),np.float64(233.5427701006747),np.float64(4.91725),
np.float64(0.1376488208770752),np.float64(230.52511385128653),np.float64(4.919875),
np.float64(0.13794398307800293),np.float64(230.14128915289945),np.float64(4.91775),
np.float64(0.1380748748779297),np.float64(232.15305998582488),np.float64(4.91775),
np.float64(0.13824772834777832),np.float64(233.33100474984045),np.float64(4.916625),
np.float64(0.13847088813781738),np.float64(233.86041812692608),np.float64(4.917125),
np.float64(0.13866901397705078),np.float64(233.23835740885045),np.float64(4.917125),
np.float64(0.13886570930480957),np.float64(234.77365620239883),np.float64(4.91525),
np.float64(0.13905978202819824),np.float64(235.52807026474585),np.float64(4.9155),
np.float64(0.13926196098327637),np.float64(234.44277284172028),np.float64(4.91725),
np.float64(0.13946270942687988),np.float64(233.6089467728104),np.float64(4.916125),
np.float64(0.13967466354370117),np.float64(234.04571280890605),np.float64(4.917),
np.float64(0.13985991477966309),np.float64(234.3104194974489),np.float64(4.915875),
np.float64(0.14006280899047852),np.float64(234.74718553354452),np.float64(4.916375),
np.float64(0.14026093482971191),np.float64(235.06483355979591),np.float64(4.91575),
np.float64(0.1404588222503662),np.float64(234.62806752370025),np.float64(4.917),
np.float64(0.1406540870666504),np.float64(233.26482807770472),np.float64(4.916875),
np.float64(0.1408529281616211),np.float64(233.43688742525757),np.float64(4.91675),
np.float64(0.1410689353942871),np.float64(233.70159411380038),np.float64(4.9165),
np.float64(0.14127469062805176),np.float64(233.82071212364465),np.float64(4.916375),
np.float64(0.1414659023284912),np.float64(234.72071486469025),np.float64(4.914875),
np.float64(0.1416618824005127),np.float64(234.72071486469025),np.float64(4.916875),
np.float64(0.1418628692626953),np.float64(234.19130148760462),np.float64(4.9165),
np.float64(0.1420609951019287),np.float64(234.0589481433332),np.float64(4.916125),
np.float64(0.142258882522583),np.float64(233.93983013348893),np.float64(4.91725),
np.float64(0.14248180389404297),np.float64(233.50306409739326),np.float64(4.916875),
np.float64(0.14267373085021973),np.float64(233.52953476624756),np.float64(4.917),
np.float64(0.14287090301513672),np.float64(233.75453545150896),np.float64(4.91475),
np.float64(0.1430668830871582),np.float64(237.81778312064125),np.float64(4.914875),
np.float64(0.14327192306518555),np.float64(237.28836974355562),np.float64(4.914625),
np.float64(0.1434617042541504),np.float64(235.88542429427866),np.float64(4.916),
np.float64(0.14365577697753906),np.float64(234.53542018271028),np.float64(4.91575),
np.float64(0.143873929977417),np.float64(234.78689153682595),np.float64(4.91675),
np.float64(0.14406704902648926),np.float64(233.13247473343333),np.float64(4.920625),
np.float64(0.14426589012145996),np.float64(229.0295210610196),np.float64(4.919625),
np.float64(0.1444709300994873),np.float64(230.53834918571368),np.float64(4.9185),
np.float64(0.14466500282287598),np.float64(232.37806067108627),np.float64(4.917625),
np.float64(0.14485692977905273),np.float64(233.1589454022876),np.float64(4.91675),
np.float64(0.14503908157348633),np.float64(232.88100337931763),np.float64(4.91725),
np.float64(0.14525485038757324),np.float64(233.42365209083042),np.float64(4.91725),
np.float64(0.14547300338745117),np.float64(233.34424008426757),np.float64(4.917),
np.float64(0.14566588401794434),np.float64(233.68835877937326),np.float64(4.91625),
np.float64(0.14586186408996582),np.float64(233.9927714711975),np.float64(4.91625),
np.float64(0.14606308937072754),np.float64(234.07218347776035),np.float64(4.9175),
np.float64(0.14626598358154297),np.float64(234.07218347776035),np.float64(4.916625),
np.float64(0.14647293090820312),np.float64(233.70159411380038),np.float64(4.916625),
np.float64(0.14667582511901855),np.float64(234.2839488285946),np.float64(4.918),
np.float64(0.14687299728393555),np.float64(233.03982739244333),np.float64(4.9175),
np.float64(0.14707303047180176),np.float64(233.4104167564033),np.float64(4.9155),
np.float64(0.14726901054382324),np.float64(236.16336631724863),np.float64(4.915125),
np.float64(0.1474449634552002),np.float64(235.80601228771582),np.float64(4.916375),
np.float64(0.1476459503173828),np.float64(233.45012275968472),np.float64(4.917),
np.float64(0.14787602424621582),np.float64(233.8339474580718),np.float64(4.91675),
np.float64(0.1480569839477539),np.float64(233.86041812692608),np.float64(4.91625),
np.float64(0.14825177192687988),np.float64(234.44277284172028),np.float64(4.916125),
np.float64(0.14844894409179688),np.float64(234.74718553354452),np.float64(4.916625),
np.float64(0.1486499309539795),np.float64(234.61483218927313),np.float64(4.916125),
np.float64(0.1488478183746338),np.float64(233.82071212364465),np.float64(4.916625),
np.float64(0.1490490436553955),np.float64(233.476593428539),np.float64(4.917),
np.float64(0.1492600440979004),np.float64(233.91335946463465),np.float64(4.91725),
np.float64(0.14946293830871582),np.float64(233.14571006786048),np.float64(4.917375),
np.float64(0.14966177940368652),np.float64(233.9927714711975),np.float64(4.916125),
